('阿勒泰', [88.0869, 47.751758])
('毕节', [105.28501, 27.301693])
('衡水', [115.665993, 37.735097])
('河池', [108.062106, 24.695899])
('驻马店', [114.024736, 32.980169])
('林芝', [94.36149, 29.649128])
('商丘', [115.650497, 34.437054])
('上饶', [117.971185, 28.44442])
('成都', [104.066143, 30.573095])
('塔城', [82.985732, 46.746301])
('辽源', [125.145349, 42.902692])
('博尔塔拉', [121.490617, 31.288136])
('常德', [111.691347, 29.040225])
('贺州', [111.552004, 24.411824])
('苏州', [120.619585, 31.299379])
('南宁', [108.36637, 22.817746])
('盘锦', [122.069571, 41.124484])
('大连', [121.618622, 38.91459])
('合肥', [117.227308, 31.82057])
('那曲', [92.060214, 31.476004])
('吴忠', [121.447934, 31.250181])
('五指山', [109.516925, 18.775147])
('巴音郭楞', [121.437349, 31.168484])
('赣州', [114.940278, 25.85097])
('郴州', [113.032067, 25.793589])
('恩施', [109.479665, 30.29468])
('漯河', [114.026405, 33.575855])
('萍乡', [113.852186, 27.622946])
('上海', [121.473658, 31.230378])
('临高', [109.690508, 19.912026])
('昆明', [102.833722, 24.881539])
('石家庄', [114.514793, 38.042225])
('西沙', [109.508268, 18.247872])
('沈阳', [123.465009, 41.677287])
('鸡西', [130.975966, 45.300046])
('六盘水', [104.846743, 26.584643])
('孝感', [113.920665, 30.917899])
('抚州', [116.358351, 27.98385])
('普洱', [100.972344, 22.777321])
('肇庆', [112.472529, 23.051546])
('锦州', [121.135742, 41.119269])
('泰州', [119.915176, 32.484882])
('揭阳', [116.355733, 23.543778])
('日照', [119.461208, 35.428588])
('云浮', [112.044439, 22.929801])
('宿州', [116.984084, 33.633891])
('四平', [124.370785, 43.170344])
('巴彦淖尔', [107.416959, 40.757402])
('十堰', [110.787916, 32.646907])
('茂名', [110.919229, 21.659751])
('沧州', [116.857461, 38.310582])
('宝鸡', [107.14487, 34.369315])
('来宾', [121.414438, 31.247546])
('六安', [116.507676, 31.752889])
('日喀则', [88.885148, 29.267519])
('仙桃', [113.453974, 30.364953])
('黄冈', [114.879365, 30.447711])
('酒泉', [98.493927, 39.732795])
('海北', [121.480171, 31.233152])
('南平', [118.178459, 26.635627])
('潍坊', [119.107078, 36.70925])
('保亭', [115.512162, 38.873616])
('玉林', [110.17543, 22.639999])
('巢湖', [117.8618, 31.598628])
('喀什', [75.989138, 39.467664])
('阳泉', [113.583285, 37.861188])
('福州', [119.296389, 26.074268])
